title,description,show_type,tags,year,length,rating,votes,countries,link,image_link
"Człowiek, który kupił księżyc / L’uomo che comprò la luna (2018)","Włoska agencja wywiadowcza wchodzi w posiadanie nieprawdopodobnej informacji: na Sardynii mieszka niezidentyfikowany rybak, który jest właścicielem Księżyca. Wiadomość zostaje przekazana rządom innych krajów, co wywołuje poruszenie społeczności międzynarodowej. W końcu na wyspę ma zostać wysłany agent specjalny. Mężczyzna urodził się na Sardynii, ale z czasem zapomniał o swoich korzeniach i teraz przed rozpoczęciem swojej misji potrzebuje korepetycji…",Film,Komedia,2018,105,6.8,174,"Italy, Albania, Argentina",https://cda-hd.cc/40077/czlowiek-ktory-kupil-ksiezyc-luomo-che-compro-la-luna-2018-online/,https://image.tmdb.org/t/p/w185/9L8IncBn4cmuc0yBo7TCC9TwXNy.jpg
Cóż za piękny dzień / A Beautiful Day in the Neighborhood (2019),Apatyczny reporter nawiązuje kontakt z najbardziej lubianym sąsiadem w kraju.,Film,"Biograficzny, Dramat",2020,109,7.3,45,"China, USA",https://cda-hd.cc/50961/coz-za-piekny-dzien-a-beautiful-day-in-the-neighborhood-2019-online/,https://image.tmdb.org/t/p/w185/p9vCAVhDK375XyobVcKqzqzsUHE.jpg
Władcy przygód. Stąd do Oblivio / Rock’n’Roll Eddie (2019),"Jedno przypadkowe spotkanie, próba porwania, szalony lot na własnoręcznie skonstruowanej lotni i ucieczka przed Łowcami z Oblivio to wystarczająco dużo wrażeń jak na jeden dzień z życia przeciętnego nastolatka. Franek i Izka – główni bohaterowie filmu odkryją, że nie trzeba być superbohaterem, aby przeżyć super przygodę. Gdy przypadkiem sprowadzą do ziemskiego wymiaru Eddiego – zbiega z Krainy Oblivio – skierują na siebie też gniew Łowców, którzy za wszelką cenę będą chcieli ukarać go za ucieczkę.",Film,"Akcja, Komedia, Przygodowy",2019,101,6.3,52,Poland,https://cda-hd.cc/40504/wladcy-przygod-stad-do-oblivio-rocknroll-eddie-2019-online/,https://image.tmdb.org/t/p/w185/qJy8SVtx6RJUwrtlLv4jmGO1aYb.jpg
Żniwa / The Harvesters (2018),"Gorliwie wierząca matka Janno przyprowadza do domu Pietera, sierotę z ulicy, którą chce uratować. Matka prosi go, by stał się bratem dla nieznajomego, doświadczonego życiem chłopaka.",Film,Dramat,2019,102,6.3,251,"South Africa, France, Greece, Poland",https://cda-hd.cc/40056/zniwa-the-harvesters-2018-online/,https://image.tmdb.org/t/p/w185/s3OwNiYqQXkvPB1EO3UM2x0RxWK.jpg
Twierdza Szanghaj / Shanghai Fortress (2019),"Przyszłość. Obca cywilizacja przybywa na Ziemię w poszukiwaniu ukrytego źródła energii, które występuje tylko na naszej planecie. Wiele miast na całym globie zostało zaatakowanych. Nie inaczej jest w przypadku Szanghaju, który desperacko walczy z najeźdźcami. W twierdzy Szanghaju młody student, Jiang Yang (Han Lu), zakochuje się w Lin Lan (Qi Shu). Młodzi, zakochani bohaterowie będą musieli przetrwać mroczne i bezlitosne godziny starć z obcymi, by stać się, niezależnie od poniesionych kosztów, bohaterami, których potrzebuje ludzkość.",Film,"Sci-Fi, Wojenny",2019,107,3.5,398,China,https://cda-hd.cc/40054/twierdza-szanghaj-shanghai-fortress-2019-online/,https://image.tmdb.org/t/p/w185/kVBt7S1Ss4d3rShSQE4hTa854Sa.jpg
Toy Story 4 (2019),Znany i lubiany Kowboj Chudy wraz z ekipą muszą wyruszyć na poszukiwania zaginionej młodej pasterki Bou.,Film,"Animacja, Familijny, Fantasy, Komedia, Przygodowy",2019,100,8.1,90,USA,https://cda-hd.cc/40052/toy-story-4-2019/,https://image.tmdb.org/t/p/w185/w9kR8qbmQ01HwnvK4alvnQ2ca0L.jpg
Spider-Man: Daleko od domu / Spider-Man: Far from Home (2019),"Kolejna odsłona przygód jednego z najpopularniejszych bohaterów filmowych, ikony popkultury – Spider-Mana. Po sukcesie filmu „Spider-Man: Homecoming” ponownie spotkamy się z młodym Peterem Parkerem, w którego postać wciela się Tom Holland.",Film,"Akcja, Przygodowy, Sci-Fi",2019,129,8.0,1,USA,https://cda-hd.cc/39622/spider-man-daleko-od-domu-spider-man-far-from-home-2019-online/,https://image.tmdb.org/t/p/w185/2cAc4qH9Uh2NtSujJ90fIAMrw7T.jpg
Starcie egzoplanet / Battle of the Exoplanets (2019),System planetarny TRAPPIST-1 znajduje się 40 lat świetlnych od naszego słońca i są na nim planety podobne do Ziemi. Program poświęcony poszukiwaniom śladów życia w tym wszechświecie.,Film,Dokumentalny,2019,60,5.9,2112,USA,https://cda-hd.cc/40043/starcie-egzoplanet-battle-of-the-exoplanets-2019-online/,https://www.dw.com/image/39326211_303.jpg
11 września: Kontrolerzy nieba / 9 / 11: Control The Skies (2019),11 września 2001 roku w miasteczku Gander na wyspie Nowa Fundlandia błyskawicznie zorganizowano akcję ratunkową na imponującą skalę. Kontrolerzy z tamtejszego lotniska przyjęli wówczas dodatkowo niemal czterdzieści samolotów pasażerskich zmierzających do Stanów Zjednoczonych z siedmioma tysiącami osób na pokładzie. Piloci tych maszyn nie mogli już zawrócić. Po bezpiecznym lądowaniu w pomoc podróżnym zaangażowała się lokalna społeczność.,Film,Dokumentalny,2019,44,5.5,2121,USA,https://cda-hd.cc/40041/11-wrzesnia-kontrolerzy-nieba-9-11-control-the-skies-2019/,https://csn.naekranie.pl/wp-content/uploads/2019/09/9%2011_5d9241aea7985.jpeg
Asterix i Obelix: W służbie Jej Królewskiej Mości / Astérix & Obélix: Au service de sa Majesté (2012),"Rok 50 p.n.e. – głodny podbojów Juliusz Cezar rozpoczyna BITWĘ O ANGLIĘ, wykorzystując perfidnie narodową skłonność Brytów do tradycyjnej przerwy na wrzątek. Królowa Brytów Kordelia wysyła z tajną misją specjalną swego agenta – sir Mentafixa, który ma odnaleźć galijską „willidż” z LICENCJĄ NA OPIERANIE… się siłom Rzymu. Dzielni Galowie Asterix i Obelix podejmują wyzwanie i wyruszają na odsiecz Jej Królewskiej Mości. Mają ze sobą tajną broń przeciw Cezarowi – beczkę magicznej mikstury Panoramiksa oraz niesfornego młodziana imieniem Skandalix, na każdym kroku ściągającego na nich kłopoty. Spotkanie Galów, Brytów i Rzymian prowadzi do serii arcyzabawnych nieporozumień, w które zaplątani są jeszcze m.in. najemnicy z Normandii, piraci, złodzieje, dżentelmeni, futboliści, angielskie damy, kaci i nielegalni imigranci.",Film,"Familijny, Komedia, Przygodowy",2012,110,5.3,13,"France, Spain, Italy, Hungary",https://cda-hd.cc/48568/asterix-i-obelix-w-sluzbie-jej-krolewskiej-mosci-asterix-obelix-au-service-de-sa-majeste-2012-online/,https://image.tmdb.org/t/p/w185/KxFWcimVEUHnu6QZ7xzVk5lDpl.jpg
